"","column_label","HI_mean_Interp","HI_sd_with_Interp","N.S.","Max_width_Interp","Min_response","Max_response","Peak_Q","ShapiroTest.W","ShapiroTest.p","t.test.stat","t.test.p","t.test.CIlow","t.test.CIhigh","wilcox.test.stat","wilcox.test.p","storm.ID","site.ID"
"1","1",0.815000000000018,0.174881049862871,-0.656517602283557,0.969909609895351,26.415,29.4178571428571,1447.38138241105,0.8039,0,32.6222,0,0.7648,0.8652,1275,0,"STRT_storm1a_06_19_NO3","STRT"
"2","2",0.570727549033576,0.140467607664866,-0.940091181079923,0.877665384432731,21.078,27.0942857142857,2392.23788949609,0.9365,0.0098,28.4414,0,0.5304,0.6111,1275,0,"STRT_storm1b_06_20_NO3","STRT"
"3","3",-0.413843493298745,0.123918615990027,0.740812797233021,-0.758862948551668,23.3814285714286,26.6857142857143,2613.28230170399,0.6969,0,-23.3775,0,-0.4494,-0.3783,0,0,"STRT_storm1c_06_22_NO3","STRT"
"4","4",-0.381966707768197,0.167358898678792,0.855117139334193,-0.623612823674495,27.0757142857143,28.2342857142857,2639.28752666968,0.9274,0.0044,-15.9762,0,-0.43,-0.3339,1,0,"STRT_storm1d_06_23_NO3","STRT"
"5","5",-0.902656313484717,0.150571257354923,0.844363685612388,-0.99572254074308,0.787857142857143,32.4321428571429,2606.05862810247,0.4634,0,-41.9641,0,-0.9459,-0.8594,1,0,"STRT_storm1e_06_24_NO3","STRT"
"6","6",0.7003025577043,0.177411698554782,-0.859638178415459,0.932002495321288,30.265,32.555,1518.17338370642,0.929,0.0051,27.6313,0,0.6494,0.7512,1275,0,"STRT_storm2_07_09_NO3","STRT"
"7","7",0.109767176046713,0.166028707552749,-0.104186855510001,0.535072679836004,1.885,30.6314285714286,1480.61028097826,0.6398,0,4.6279,0,0.0621,0.1574,1186,0,"STRT_storm3_07_21_NO3","STRT"
"8","8",0.796023602688073,0.112966699928175,-0.640878544500884,0.890018029831168,26.4492857142857,30.8071428571429,1470.49713793606,0.6969,0,49.3257,0,0.7636,0.8285,1275,0,"STRT_storm4a_08_01_NO3","STRT"
"9","9",-0.391525342676584,0.156116436575705,0.807671589567054,-0.524736867728723,1.78214285714286,30.2085714285714,1586.07591556112,0.6542,0,-17.5553,0,-0.4363,-0.3467,3,0,"STRT_storm4b_08_03_NO3","STRT"
"10","10",0.623915850864402,0.113582026901858,-0.742137054780257,0.733388877317228,27.6714285714286,31.1007142857143,1490.72342402046,0.8328,0,38.4516,0,0.5913,0.6565,1275,0,"STRT_storm5_08_09_NO3","STRT"
"11","11",0.688131462333816,0.114512173372694,-0.864106351550937,0.854505169867046,28.5985714285714,29.5657142857143,1473.38660737668,0.8594,0,42.0647,0,0.6553,0.721,1275,0,"STRT_storm6_08_12_NO3","STRT"
"12","12",0.575084528140391,0.277069081850439,-0.349668307297228,0.942435266424156,28.4564285714286,31.7942857142857,1489.27868930012,0.8506,0,14.5292,0,0.4955,0.6546,1275,0,"STRT_storm7a_08_20_NO3","STRT"
"13","13",-0.439032825322415,0.34741004543121,-0.0369284876905061,-0.941383352872228,28.3992857142857,29.6178571428571,1422.82089216571,0.8414,0,-8.8461,0,-0.5388,-0.3393,63,0,"STRT_storm7b_08_21_NO3","STRT"
"14","14",0.451339529797686,0.196529129041031,-0.675232367413907,0.786768726079811,29.33,30.6364285714286,1398.26040192042,0.9457,0.0227,16.0759,0,0.3949,0.5078,1275,0,"STRT_storm8_08_28_NO3","STRT"
"15","15",0.517244938999868,0.146032865243098,-0.72476203244402,0.743799436921846,25.12,30.4478571428571,1578.8522419596,0.878,1e-04,24.7938,0,0.4753,0.5592,1275,0,"STRT_storm9a_09_03_NO3","STRT"
"16","16",0.0832524310222132,0.259481255398762,-0.362163016839269,-0.440746304055656,25.4035714285714,34.4385714285714,1718.99150982994,0.9028,6e-04,2.2459,0.0293,0.0088,0.1577,881,0.019,"STRT_storm9c_09_09_NO3","STRT"
