"","DateTime","DateTimeAK","julian","FRCH","MOOS","POKE","STRT","VAUL","POKE.Q.int"
"1","2019-04-29 14:15:00",2019-04-29 14:15:00,118.552083333333,142.692336003729,NA,NA,NA,NA,NA
"2","2019-04-29 14:30:00",2019-04-29 14:30:00,118.5625,128.176923946978,NA,NA,NA,NA,NA
"3","2019-04-29 14:45:00",2019-04-29 14:45:00,118.572916666667,126.298559937791,NA,NA,NA,NA,NA
"4","2019-04-29 15:00:00",2019-04-29 15:00:00,118.583333333333,126.924681274187,NA,NA,NA,NA,NA
"5","2019-04-29 15:15:00",2019-04-29 15:15:00,118.59375,130.120444467307,NA,NA,NA,NA,NA
"6","2019-04-29 15:30:00",2019-04-29 15:30:00,118.604166666667,131.43784365124,NA,NA,NA,NA,NA
"7","2019-04-29 15:45:00",2019-04-29 15:45:00,118.614583333333,130.120444467307,NA,NA,NA,NA,NA
"8","2019-04-29 16:00:00",2019-04-29 16:00:00,118.625,130.120444467307,NA,NA,NA,NA,NA
"9","2019-04-29 16:15:00",2019-04-29 16:15:00,118.635416666667,129.559479642054,NA,NA,NA,NA,NA
"10","2019-04-29 16:30:00",2019-04-29 16:30:00,118.645833333333,135.259728180755,NA,NA,NA,NA,NA
"11","2019-04-29 16:45:00",2019-04-29 16:45:00,118.65625,138.488069629446,NA,NA,NA,NA,NA
"12","2019-04-29 17:00:00",2019-04-29 17:00:00,118.666666666667,135.885849517151,NA,NA,NA,NA,NA
"13","2019-04-29 17:15:00",2019-04-29 17:15:00,118.677083333333,141.683832822566,NA,NA,NA,NA,NA
"14","2019-04-29 17:30:00",2019-04-29 17:30:00,118.6875,142.440267181247,NA,NA,NA,NA,NA
"15","2019-04-29 17:45:00",2019-04-29 17:45:00,118.697916666667,138.520647885018,NA,NA,NA,NA,NA
"16","2019-04-29 18:00:00",2019-04-29 18:00:00,118.708333333333,130.153022722878,NA,NA,NA,NA,NA
"17","2019-04-29 18:15:00",2019-04-29 18:15:00,118.71875,131.43784365124,NA,NA,NA,NA,NA
"18","2019-04-29 18:30:00",2019-04-29 18:30:00,118.729166666667,136.544549109118,NA,NA,NA,NA,NA
"19","2019-04-29 18:45:00",2019-04-29 18:45:00,118.739583333333,131.405265395669,NA,NA,NA,NA,NA
"20","2019-04-29 19:00:00",2019-04-29 19:00:00,118.75,135.951006028293,NA,NA,NA,NA,NA
"21","2019-04-29 19:15:00",2019-04-29 19:15:00,118.760416666667,132.722664579602,NA,NA,NA,NA,NA
"22","2019-04-29 19:30:00",2019-04-29 19:30:00,118.770833333333,132.755242835174,NA,NA,NA,NA,NA
"23","2019-04-29 19:45:00",2019-04-29 19:45:00,118.78125,141.716411078138,NA,NA,NA,NA,NA
"24","2019-04-29 20:00:00",2019-04-29 20:00:00,118.791666666667,150.116614495849,NA,NA,NA,NA,NA
"25","2019-04-29 20:15:00",2019-04-29 20:15:00,118.802083333333,150.084036240278,NA,NA,NA,NA,NA
"26","2019-04-29 20:30:00",2019-04-29 20:30:00,118.8125,146.888273047158,NA,NA,NA,NA,NA
"27","2019-04-29 20:45:00",2019-04-29 20:45:00,118.822916666667,146.888273047158,NA,NA,NA,NA,NA
"28","2019-04-29 21:00:00",2019-04-29 21:00:00,118.833333333333,149.39275839274,NA,NA,NA,NA,NA
